name,cipn
MetaRAM,B05EF
Methode Electr onics Inc,B055E
MGV Memory,B01E3
MHS Electronic,B0058
Micro Linear,B0185
Micro Memory Bank,B02BA
Micro Star International,B0546
Microchip Technology,B0029
MicroDisplay Corporation,B046E
Microelectronics Institute ZTE,B078C
Micron CMS,B0145
Micron Technology,B002C
Micronas (ITT Intermetall),B00EC
Microsoft,B04D5
MIMOS Semiconductor,B0175
Mindspeed,B04AD
Ming Xin Limited,B102F
MINRES Technologies GmbH,B12E9
MIPS Technologies,B02A7
Mitac International,B03E5
Mitsubishi,B001C
MLOONG,B110E
MMC Networks,B01BC
Mob ilEye Technologies,B0449
Mobilygen Corporation,B056B
Modu Ltd,B0649
Molex Incorporated,B0608
Monolithic Memories,B008C
Monolithic Power Systems Inc,B112A
Montage Technology Group,B0632
Montalvo Systems,B0554
Morphics Technology,B027A
Morse Micro,B11BC
MOSAID Technologies,B0207
Mostek,B000D
MoSys,B067C
MOVEKING,B0601
Movidia Ltd,B06B0
MSC Technologies GmbH,B0907
MSC Vertriebs GmbH,B01D5
MtekVision  (Atsana),B0367
Multi Dimensional Cons.,B01E6
Multigig Inc,B0610
MultiLink Technology,B02EF
Muscle Power,B06F2
Mushkin,B0394
Mushkin Enhanced Memory,B0132
Music Semi,B0119
Myson Century Inc,B06F7
Mysticom,B030D
MyTek Electronics Corp,B1183
Mythic Inc,B0940
MyWo AS,B0954
Nanjing UCUN Technology Inc,B11B3
Nanjing Yihuo Technology,B072A
NanoAmp Solutions,B0362
Nantronics Semiconductors,B06D5
Nanya Technology,B030B
National,B008F
National Instrumen ts,B0102
NavCom Technology Inc,B0720
Nazomi Communications,B035B
Nchip,B0189
ncoder AG,B1204
NCR,B00A2
nCUBE,B026B
NDS Americas Inc,B062A
NEC,B0010
Nemostech Inc,B0832
Neo Forza,B09AD
Neoaxiom Corporation,B040E
NeoMagic,B0391
neoOne Technology Inc,B052F
Neotion,B08C7
NERA ASA,B0158
Nespeed Sysems,B091A
Netac Technology Co Ltd,B09F7
NetCell Corpo ration,B0508
NetEffect Inc,B05E6
Netergy Microelectronic,B03EA
Neterion Inc,B05D0
Nethra Imaging,B055B
Nethra Imaging Inc,B07AB
Netlist,B0316
NetLogic Microsystems,B01F4
Netronome,B06E6
Netsol,B07D9
Network Intelligence,B09A7
Netxen,B060B
NEUCHIPS Corporation,B13A4
NeuMem Co Ltd,B1294
New Coastline Global Tech Indu stry Co,B102A
New Japan Radio Co Ltd,B0552
New Media,B0057
Newport Communications,B0240
Newport Digital,B013B
Newport Media Inc,B0537
Newzone Corporation,B07A8
NEXCOM,B00EF
NextIO Inc,B06D9
NextWave Broadband Inc,B068C
Nimbus Technology,B00EA
Nippon Steel Semi. Corp,B016E
Nokia,B078F
Noncents Productions,B04A7
Nordic VLSI ASA,B02C4
NORMEM,B1052
Northern Telecom,B0061
Northrop Grumman,B06CB
